id,name,from,to,age_from,age_to,height_cm,weight_kg,gp,w,l,total_shots,sv%,best_year,min,qs,bs,qual_r,Brad Park,Denis Potvin,Guy Lapointe,Larry Robinson,Borje Salming,Viacheslov Fetisov,Rod Langway,Ray Bourque,Paul Coffey,Larry Murphy,Al MacInnis,Scott Stevens,Brian Leetch,Mark Howe,Chris Chelios,Scott Niedermayer,Rob Blake,Phil Housley,Nicklas Lidstrom,Chris Pronger,Drew Doughty,Erik Karlsson,Duncan Keith,P.K. Subban,Zdeno Chara
1,David Aebischer,2001,2008,22,29,185,84,214,106,74,5807,0.912,0.924,12230,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Jake Allen,2013,2017,22,26,187,88,109,62,29,2753,0.914,0.92,6042,54,18,3.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Frederik Andersen,2014,2017,24,27,193,104,135,82,28,3630,0.917,0.919,7573,73,16,4.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Craig Anderson,2003,2017,21,35,187,83,474,219,173,14470,0.916,0.924,26888,224,57,3.930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
5,Jean-Sebastien Aubin,1999,2008,21,30,180,81,218,80,83,5455,0.900,0.914,11197,5,4,1.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Alex Auld,2002,2012,21,31,193,97,237,91,88,6293,0.904,0.911,12986,50,18,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
7,Niklas Backstrom,2007,2016,28,37,187,87,413,196,144,11392,0.914,0.929,23481,195,60,3.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Murray Bannerman,1978,1987,,29,180,84,289,116,125,6174,0.879,0.887,16470,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marco Baron,1980,1985,,25,180,81,86,34,38,642,0.861,0.0,4822,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Tom Barrasso,1984,2003,18,37,190,95,777,369,277,22090,0.892,0.922,44180,,,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
11,Don Beaupre,1981,1997,,35,177,78,667,268,277,15419,0.884,0.897,37396,,,,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Stephane Beauregard,1990,1994,22,26,180,86,90,19,39,2220,0.879,0.0,4402,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,Ed Belfour,1989,2007,23,41,180,91,963,484,320,24751,0.906,0.922,55695,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
14,Jonathan Bernier,2008,2017,19,28,182,83,216,89,89,6271,0.915,0.923,12006,109,32,3.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
15,Daniel Berthiaume,1987,1994,21,28,175,70,215,81,90,5849,0.878,0.892,11662,,,,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Allan Bester,1984,1996,19,31,170,70,219,73,99,6699,0.883,0.89,11773,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,Craig Billington,1986,2003,19,36,177,77,332,110,149,8388,0.877,0.876,17097,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Martin Biron,1996,2014,18,36,187,84,508,230,191,13893,0.910,0.918,28614,90,25,3.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Ben Bishop,2009,2017,22,30,200,98,239,135,68,6523,0.920,0.926,13574,134,29,4.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,Sergei Bobrovsky,2011,2017,22,28,187,82,276,145,93,8060,0.918,0.932,15731,157,31,5.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,Dan Bouchard,1973,1986,,35,182,86,655,286,232,3137,0.876,0.882,37919,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Brian Boucher,2000,2013,23,36,187,89,328,120,139,8272,0.901,0.918,18220,47,13,3.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
23,Fred Brathwaite,1994,2004,21,31,170,84,254,81,99,6344,0.901,0.91,13840,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
24,Martin Brodeur,1992,2015,19,42,187,99,1266,691,397,31709,0.912,0.927,74439,205,61,3.361,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
25,Richard Brodeur,1980,1988,,,170,72,385,131,175,6245,0.864,,21968,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Ilya Bryzgalov,2002,2015,21,34,190,96,465,221,162,13011,0.912,0.921,26550,223,65,3.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
